,Actual Pickup Time,Booking ID,Pickup ID,Dropoff ID,Actual Dropoff Time,Pickup Latitude,Pickup Longitude,Dropoff Latitude,Dropoff Longitude,name,district,Passenger status,Rounded Pickup Time,Pickup Date,Pickup Hour
116,2024-09-02 15:04:00,254406,8,31,2024-09-02 15:22:00,49.017505,11.404733,49.035227,11.467885,"Haunstetten, Gewerbegebiet",Haunstetten,Trip completed,2024-09-02 15:00:00,2024-09-02,15
117,2024-09-02 15:04:00,254629,8,1,2024-09-02 15:11:00,49.017505,11.404733,48.992498,11.363953,"Haunstetten, Gewerbegebiet",Haunstetten,Trip completed,2024-09-02 15:00:00,2024-09-02,15
118,2024-09-02 15:11:00,252612,40,31,2024-09-02 15:31:00,48.994215,11.461103,49.035227,11.467885,"Irfersdorf, Am Kirchplatz",Irfersdorf,Cancelled,2024-09-02 15:00:00,2024-09-02,15
119,2024-09-02 15:24:00,252393,55,31,2024-09-02 15:31:00,49.019003,11.520783,49.035227,11.467885,"Kottingwoerth, Dietfurter Strasse",Kottingwörth,Cancelled,2024-09-02 15:00:00,2024-09-02,15
120,2024-09-02 15:22:00,254409,31,67,2024-09-02 15:30:00,49.035227,11.467885,49.048472,11.431715,"Beilngries, Eichstaetter Strasse / Tankstelle",Beilngries,Trip completed,2024-09-02 15:00:00,2024-09-02,15
121,2024-09-02 15:27:00,254701,28,64,2024-09-02 15:42:00,49.036912,11.471075,49.068532,11.455142,"Beilngries, Neumarkter Straße",Beilngries,Cancelled,2024-09-02 15:00:00,2024-09-02,15
122,2024-09-02 15:24:00,254705,28,64,2024-09-02 15:37:00,49.036912,11.471075,49.068532,11.455142,"Beilngries, Neumarkter Straße",Beilngries,Trip completed,2024-09-02 15:00:00,2024-09-02,15
123,2024-09-02 15:32:00,254246,30,50,2024-09-02 15:45:00,49.036378,11.470632,48.976827,11.559612,"Beilngries, Frauenkirche",Beilngries,Cancelled,2024-09-02 15:00:00,2024-09-02,15
124,2024-09-02 15:32:00,254365,30,40,2024-09-02 15:42:00,49.036378,11.470632,48.994215,11.461103,"Beilngries, Frauenkirche",Beilngries,Cancelled,2024-09-02 15:00:00,2024-09-02,15
125,2024-09-02 15:45:00,252225,29,50,2024-09-02 15:57:00,49.035103,11.474083,48.976827,11.559612,"Beilngries, Rathaus",Beilngries,Cancelled,2024-09-02 15:00:00,2024-09-02,15
